dataset,workload,index,throughput_mops,index_size_bytes
fb,mix10,DynamicPGM,0.9388200000000001,1705226028
fb,mix10,LIPP,5.194990000000001,12700946864
fb,mix10,Hybrid,5.032426666666667,12703044016
fb,mix90,DynamicPGM,2.99959,1705154448
fb,mix90,LIPP,2.1753633333333333,12656662928
fb,mix90,Hybrid,4.0058766666666665,12538249840
books,mix10,DynamicPGM,0.9925113333333333,1700049908
books,mix10,LIPP,5.7529433333333335,11818525760
books,mix10,Hybrid,5.499606666666668,11952743488
books,mix90,DynamicPGM,3.0650166666666667,1703241188
books,mix90,LIPP,2.8756500000000003,11753613200
books,mix90,Hybrid,4.0672299999999995,11686067432
osmc,mix10,DynamicPGM,1.0173033333333334,1701834168
osmc,mix10,LIPP,4.222266666666666,20602887232
osmc,mix10,Hybrid,4.627273333333334,20604984384
osmc,mix90,DynamicPGM,2.85946,1703724028
osmc,mix90,LIPP,1.77111,20408967088
osmc,mix90,Hybrid,3.8059399999999997,20286298240
